ID,Command,Log File,Result,All Detected Rules
95,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d|bash #dummy'",Linux_Base64_Encoded_Pipe_to_Shell_attack95.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
96,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | b''ase64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack96.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
97,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""|base64    -d|bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack97.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
98,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""| base64 -d | /bin/bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack98.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
99,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""|/usr/bin/base64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack99.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
100,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d|/bin/bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack100.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
101,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | ba""""sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack101.log,Bypass All,None
102,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""|base64 -d | /bin/ba""""sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack102.log,Bypass All,None
103,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""| base64 -d|bash #insertion'",Linux_Base64_Encoded_Pipe_to_Shell_attack103.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
104,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | /b""""in/bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack104.log,Bypass All,None
105,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | /bin/bash # comment'",Linux_Base64_Encoded_Pipe_to_Shell_attack105.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
106,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | \base64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack106.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
107,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""| base64 -d| ""bash""'",Linux_Base64_Encoded_Pipe_to_Shell_attack107.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
108,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | b\ash'",Linux_Base64_Encoded_Pipe_to_Shell_attack108.log,Bypass All,None
109,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | b""""ase64 -d | b""""ash'",Linux_Base64_Encoded_Pipe_to_Shell_attack109.log,Bypass All,None
110,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | /usr/bin/bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack110.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
111,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ba""""se64 -d |/bin/b""""ash'",Linux_Base64_Encoded_Pipe_to_Shell_attack111.log,Bypass All,None
112,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""|base64 -d|b""a""sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack112.log,Bypass All,None
113,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" |base64 -d|b\a\sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack113.log,Bypass All,None
114,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""| base64 -d |ba''sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack114.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
115,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ba""""se64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack115.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
116,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""|b""ase64"" -d|bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack116.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
117,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | b\a\s\e64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack117.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
118,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""|/usr/bin/base64 -d|ba""""sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack118.log,Bypass All,None
119,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | /usr/bin/ba""""se64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack119.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
120,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""| base64 -d |/bin/ba\sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack120.log,Bypass All,None
121,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d |/bin//bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack121.log,Bypass All,None
122,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""| base64 -d |/bin/./bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack122.log,Bypass All,None
123,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" |base64 -d| ""bash""'",Linux_Base64_Encoded_Pipe_to_Shell_attack123.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
124,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""| base64 -d|""ba""""sh""'",Linux_Base64_Encoded_Pipe_to_Shell_attack124.log,Bypass All,None
125,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ba""""se64 -d|/usr/bin/bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack125.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
126,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""|b""""ase64 -d|/bin/bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack126.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
127,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d|/bin/b""""ash'",Linux_Base64_Encoded_Pipe_to_Shell_attack127.log,Bypass All,None
128,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""| base64 -d | ba\sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack128.log,Bypass All,None
129,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | b""""ase64 -d | b""""ash'",Linux_Base64_Encoded_Pipe_to_Shell_attack129.log,Bypass All,None
130,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""| base64 -d |bash	'",Linux_Base64_Encoded_Pipe_to_Shell_attack130.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
131,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""| base64 -d|bash;'",Linux_Base64_Encoded_Pipe_to_Shell_attack131.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
132,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ba""""se64 -d|ba""""sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack132.log,Bypass All,None
133,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""| b""a""""se64"" -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack133.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
134,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | b""a""""sh""'",Linux_Base64_Encoded_Pipe_to_Shell_attack134.log,Bypass All,None
135,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""| /bin/b""""ase64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack135.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
136,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | /bin/ba""""se64 -d|ba\sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack136.log,Bypass All,None
137,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""| base64 -d | /usr/bin/ba""""sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack137.log,Bypass All,None
138,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | b""""ase64 -d | /bin/./ba""""sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack138.log,Bypass All,None
139,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | ""ba""sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack139.log,Bypass All,None
140,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ""base""64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack140.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
141,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ba\se64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack141.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
142,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | ba\sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack142.log,Bypass All,None
143,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""|""base64"" -d|bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack143.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
144,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | /bin/./bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack144.log,Bypass All,None
145,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | /usr/bin/base64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack145.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
146,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | /usr/bin/./base64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack146.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
147,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | /bin//bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack147.log,Bypass All,None
148,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ba""""se64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack148.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
149,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base""""64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack149.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
150,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | ba""""sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack150.log,Bypass All,None
151,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | b""a""se64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack151.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
152,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | b""a""sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack152.log,Bypass All,None
153,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ba""s""e64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack153.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
154,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | ba""s""h'",Linux_Base64_Encoded_Pipe_to_Shell_attack154.log,Bypass All,None
155,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ba\se64 -d | /bin/bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack155.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
156,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | /bin/base64 -d | ba\sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack156.log,Bypass All,None
157,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""|/usr/bin/base64 -d|/bin/bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack157.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
158,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | /usr/bin/bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack158.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
159,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | b""a""s""e""64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack159.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
160,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ba""""s""""e64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack160.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
161,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | ba""""s""""h'",Linux_Base64_Encoded_Pipe_to_Shell_attack161.log,Bypass All,None
162,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | /usr/bin/ba""""se64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack162.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
163,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | /bin/ba""""sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack163.log,Bypass All,None
164,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | b\ase64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack164.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
165,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | b\ash'",Linux_Base64_Encoded_Pipe_to_Shell_attack165.log,Bypass All,None
166,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | /bin/base64 -d | /bin/bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack166.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
167,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | /bin/../bin/base64 -d | /bin/bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack167.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
168,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | /bin/../bin/bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack168.log,Bypass All,None
169,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ""/bin/base64"" -d | ""/bin/bash""'",Linux_Base64_Encoded_Pipe_to_Shell_attack169.log,Bypass All,None
170,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | /bin/b\ash'",Linux_Base64_Encoded_Pipe_to_Shell_attack170.log,Bypass All,None
171,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | '""/bin/""'bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack171.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
172,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | /bin/./base64 -d | /bin/bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack172.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
173,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | b\a\s\e64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack173.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
174,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | b\a\s\h'",Linux_Base64_Encoded_Pipe_to_Shell_attack174.log,Bypass All,None
175,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | b'a'se64 -d | b'a'sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack175.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
176,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | $(which base64) -d | $(which bash)'",Linux_Base64_Encoded_Pipe_to_Shell_attack176.log,Bypass All,None
177,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | $(echo base64) -d | $(echo bash)'",Linux_Base64_Encoded_Pipe_to_Shell_attack177.log,Bypass All,None
178,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | $(echo ba""""se64) -d | $(echo ba""""sh)'",Linux_Base64_Encoded_Pipe_to_Shell_attack178.log,Bypass All,None
179,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | $(/bin/echo base64) -d | $(/bin/echo bash)'",Linux_Base64_Encoded_Pipe_to_Shell_attack179.log,Bypass All,None
180,"/bin/bash -c 'eval ""$(echo ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg== | base64 -d)""'",Linux_Base64_Encoded_Pipe_to_Shell_attack180.log,Bypass All,None
181,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ba\se64 -d | /usr/bin/bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack181.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
182,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | b""""a""""s""""e64 -d | b""""a""""s""""h'",Linux_Base64_Encoded_Pipe_to_Shell_attack182.log,Bypass All,None
183,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | ""bash""'",Linux_Base64_Encoded_Pipe_to_Shell_attack183.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
184,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ""base64"" -d | /bin/bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack184.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
185,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | /bin/base64 -d | /bin/./bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack185.log,Bypass All,None
186,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | /bin//base64 -d | /bin//bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack186.log,Bypass All,None
187,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack187.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
188,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ""base64"" -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack188.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
189,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ba""se""64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack189.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
